( recording-mrt-001 "Меѓутоа, луѓето тука не се тркаат да бидат секојпат суперѕвезди." )                    
( recording-mrt-002 "На крајот мал детаљ го реши победникот." )                       
( recording-mrt-003 "Со багаж полн со надеж, тага, љубов и несреќа..." )                     
( recording-mrt-004 "Грузија ги загуби Јужна Осетија и Абхазија." )                       
( recording-mrt-005 "Дури имал и заштедено пет илјади рубљи." )                       
( recording-mrt-006 "Ќе играат на карта на вадење валкани алишта?" )                      
( recording-mrt-007 "Текс Вилер, Шехерезад, Мирјам, Алан Форд, Неџла..." )                       
( recording-mrt-008 "Наум, речиси, во секој град имал љубовница." )                       
( recording-mrt-009 "Наун, во прво време не можел да направи ништо, почесто почнал да пие и со белиот коњ корстосувал низ велешките простори." )         
( recording-mrt-010 "Добар човек, се надоврзува печалбар од Порторож, Словенија." )                      
( recording-mrt-011 "Жените што се во однос со ваков маж често се чувствуваат сами во врската." )                
( recording-mrt-012 "И Воинот на коњ ќе биде во тарифникот." )                      
( recording-mrt-013 "Но, дали дополнителните трошоци на Воинот на коњ можеби ќе значат молк на плоштадот Македонија." )               
( recording-mrt-014 "Предводниците на новата генерација на македонскиот фудбалски ентерпрајз..." )                      
( recording-mrt-015 "На станицата Лондон бриџ деновиве можеби беше најживо." )                      
( recording-mrt-016 "Тогаш навистина добив идеја дека морам да станам ѕвезда." )                     
( recording-mrt-017 "Преку ноќ џелатот станува неприкосновена поп-ѕвезда и самата професија ја издигнува рамо до рамо со онаа на економистите, адвокатите и лекарите." )         
( recording-mrt-018 "Мислам на Грција и на спорот со името, Бугарија и негирање на идентитетот." )                 
( recording-mrt-019 "За албанската држава и натаму Македонци има само во Мала Преспа и во село Врбник." )               
( recording-mrt-020 "Полека воведете нерафинирани јаглехидрати, како оризот, хељдата и киноата." )                     
( recording-mrt-021 "Тоа се случи само неколку дена откако во Атина со нож беше усмртен Египќанец." )                
( recording-mrt-022 "Тој копнеж живее до ден денешен, па стана и лајт-мотив за најновите интервенции во архитектурата на централното градско подрачје." )           
( recording-mrt-023 "Веќе со години е пратеник во покраинскиот парламент во Рајланд-Фалц." )                    
( recording-mrt-024 "Мина една недела од завршувањето на плејоф-финалето со ем зе те." )                   
( recording-mrt-025 "Ромни помина низ Њу Хемпшир, Ајова и Колорадо." )                      
( recording-mrt-026 "Да не се случеше ќе беше сериозен удар врз принципите за почитување на основните човекови права и достоинство на граѓаните." )          
( recording-mrt-027 "Кузмановски решава да основа своја шпедитерска фирма, Виашпед." )                      
( recording-mrt-028 "Градоначалниците што покажале успех ќе добијат поддршка." )                       
( recording-mrt-029 "За време на Либанската граѓанска војна, побегнал во Германија, каде што добил азил поради своето членување во милитантната група Ал Тавхид." )         
( recording-mrt-030 "Неговиот начин на работа може да се спореди со оној на Игмар Бергман." )                 
( recording-mrt-031 "Ирските граѓани пред години се подготвуваа да гласаат за Договорот од Мастрихт." )                  
( recording-mrt-032 "Мекејлеб се сели во Фенербахче или во ен бе а!" )                      
( recording-mrt-033 "Уште еден изборен вторник, педесет и седми по ред во кој што се избира претседател на државата." )             
( recording-mrt-034 "Овој пат, тој, за чудо, не беше ни предлог." )                     
( recording-mrt-035 "Од јули таа година, станува секретар на ноф и на комунистичката партија на Македонија во околијата Преспа и секретар на а фе же во Костурскиот округ." )    
( recording-mrt-036 "Дали само лунѕа, безнадежно талка или и таа скапува со него?" )                   
( recording-mrt-037 "Ќе се скара дури и со шефот на с с, Хајнрих Химлер." )                  
( recording-mrt-038 "Таму, меѓу лагерите, клештите, шрафцигерите и клучевите беа ставени ќесичките хероин и кокаин." )                 
( recording-mrt-039 "И овој човек во моментот се соочува со тужба од страна на управителот на Метрудхем, извесниот господин Тони Димитриески." )           
( recording-mrt-040 "Дуетот штотуку отвори фабрика во Гвангжу, што наредната година ќе создаде шест нови модели." )                
( recording-mrt-041 "Тоа го признава и неговиот стратег во кампањата Дејвид Акселрод." )                    
( recording-mrt-042 "Егзистенцијалниот егоизам треба да му биде туѓ на интелектуалецот." )                     
( recording-mrt-043 "Хотелскиот готвач Џорџ Крум уживал во готвењето." )                       
( recording-mrt-044 "Маргарета и Рудолф живееле на Јава, каде што им се родиле две деца." )                 
( recording-mrt-045 "Ај што ќе нема членство и гласови, туку ќе нема за костуми и за шамивчиња за в џеб..." )            
( recording-mrt-046 "Според индексот за корупција на Транспареси интернешнл, проблеми има и во Унгарија, Бугарија, Хрватска, Чешка и Италија." )             
( recording-mrt-047 "Ван Ромпуј за време на получасовната емисија одговараше на прашања од гледачите поставени преку телефон, интернет и социјалната мрежа Твитер." )          
( recording-mrt-048 "За смртта на Мајкл Џексон прво дознав од Џејсон Фајфер." )                    
( recording-mrt-049 "Текстот го посветувам на детето-бегалец Ѓорги Доневски, родено во село Бапчор, Егејска Македонија." )  
( recording-mrt-050 "Бебето од Кембриџ ќе биде трето правнуче на кралицата." )                     
( recording-mrt-051 "Беше уапсен и обвинет човек заради обидот да го дигне во воздух федералниот суд во Спрингфилд." )              
( recording-mrt-052 "Црни маички, долги коси, пирсче, стартка, лоша хигиена..." )                      
( recording-mrt-053 "Оттаму на гледачот му се сервираат зборовите внук или вљуби." )                    
( recording-mrt-054 "Имаат ли причина, и двете страни, за таков сомнеж?" )                     
( recording-mrt-055 "Омер главен истражител за авионската несреќа." )                        
( recording-mrt-056 "Да се појавиш неподготвен, фрустриран, нерасположен и намќорест." )                      
( recording-mrt-057 "Ете тоа се прашањата што сега ми ѕвонат в глава." )                    
( recording-mrt-058 "И во фотографијата, Родченко го разработил методот на филмските режисери Верзов и Ејзенштејн." )                 
( recording-mrt-059 "Не бараш ѕвезда за своето име, ниту пак читаш од мудрото небо." )                  
( recording-mrt-060 "Оваа појава треба да ја испитуваме подетално." )                       
( recording-mrt-061 "Хамбургери, виршли, паштети, бурек, чипс, чоколади, тортички се секојдневно на менито на учениците." )                 
( recording-mrt-062 "Светска галерија на цртеж што ќе биде отворена наредната недела." )                    
( recording-mrt-063 "На крајот на овој мој колаж ќе спомнам уште еден настан што ме израдува." )                
( recording-mrt-064 "Како се подготвуваше обвинението против Ѓоре Петровски и против браќата Љупчо и Ордан Ѓорѓиевски?" )                
( recording-mrt-065 "Овие извештаи се веќе готови и треба да се објават на веб-страницата." )                  
( recording-mrt-066 "Ниту едни очи не светат на Фејзбук, и да се убави, тие се таму мртви!" )                 
( recording-mrt-067 "Друг очевидец, Бен Еиса ел-Махџуб, член на новинарската екипа што беше на самото место, изјави дека инцидентот не бил протест." )          
( recording-mrt-068 "Под нив ќе се точи шампањ, секако, увезен од областа Шампањ, од Франција." )                 
( recording-mrt-069 "Погледнав првпат во еден туѓ часовник, немаше минути на него." )                    
( recording-mrt-070 "Во следните неколку денови, Николиќ формира парламентарна група со пратеници од Радикалната партија, што ја нарекува Напред Србија." )            
( recording-mrt-071 "Одамна помина времето на уличната демократија и пуч-демократијата." )                      
( recording-mrt-072 "Имате ли некој моден детаљ што го нагласувате?" )                      
( recording-mrt-073 "Балканското Буре барут го менува фитиљот." )                        
( recording-mrt-074 "Нешто што мислев дека постои само во сатиричните творби на Иљф и Петров." )                 
( recording-mrt-075 "Се нервираш ли кога ќе те наречат или ќе напишат Горазд?" )                   
( recording-mrt-076 "Денес немав намера да пишувам за лажги." )                       
( recording-mrt-077 "Ми се заблагодари за критиките со шампањско." )                       
( recording-mrt-078 "Во мигов за мене не постои подраг човек на светот." )                    
( recording-mrt-079 "Во озлогласениот Бриџтон имаше скршени излози, кои што беа залепени со ленти." )                  
( recording-mrt-080 "Таму веќе не чекаа Дејан, брат му Сашо и татко им Сречко, фамилија позната под прекарот Блендфер." )             
( recording-mrt-081 "Налетуваме понекогаш и на змии, ама најмногу на диви зајаци и свињи и на понекоја желка..., видно возбуден се ни изнараскажа Сашо, кој беше најзборлест." )     
( recording-mrt-082 "Потоа дојде изѕидувањето на Самуиловата крепост." )                        
( recording-mrt-083 "Ако држиш оружје, значи дека имаш цел." )                       
( recording-mrt-084 "За театарот создаваат Хуго фон Хофманстал и Артур Шницлер." )                     
( recording-mrt-085 "Некој ги слави двата празника, некој љуби да љуби, некој љуби убаво вино." )                 
( recording-mrt-086 "До таму нема да дојде, сметаат аналитичарите на Комерцбанк." )                     
( recording-mrt-087 "Британскиот крал Џорџ ја одликуваше Москва со Мечот на честа поради одбраната на Сталинград." )                
( recording-mrt-088 "И на домашен и на туѓ терен играме според туѓи правила." )                   
( recording-mrt-089 "Ролинг живеела од социјална помош." )                         
( recording-mrt-090 "По години Прилеп ќе добие нова киносала во Домот на клутурата Марко Цепенков." )                 
( recording-mrt-091 "Тој напомена дека Приказната за Центар мора да продолжи да се развива со истиот интензитет, со идеите и потребите на граѓаните, преку проектите." )       
( recording-mrt-092 "Овие луѓе одат таму каде што се парите, вели Џонатан Хиколсон од консултантската фирма Естбури Марсден." )              
( recording-mrt-093 "Наместо оплодување на парите, преку ноќ штедните книшки станаа полесни." )                    
